"X.1" "Class" "Metabolite.abbreviation" "Metabolite" "Platform" "Data.type" "X"
"1" 1 "aminoacids" "Ala" "Alanine" "LC-MS/MS" "Quantified" NA
"2" 2 "aminoacids" "Arg" "Arginine" "LC-MS/MS" "Quantified" NA
"3" 3 "aminoacids" "Asn" "Asparagine" "LC-MS/MS" "Quantified" NA
"4" 4 "aminoacids" "Asp" "Aspartate" "LC-MS/MS" "Quantified" NA
"5" 5 "aminoacids" "Cit" "Citrulline" "LC-MS/MS" "Quantified" NA
"6" 6 "aminoacids" "Gln" "Glutamine" "LC-MS/MS" "Quantified" NA
"7" 7 "aminoacids" "Glu" "Glutamate" "LC-MS/MS" "Quantified" NA
"8" 8 "aminoacids" "Gly" "Glycine" "LC-MS/MS" "Quantified" NA
"9" 9 "aminoacids" "His" "Histidine" "LC-MS/MS" "Quantified" NA
"10" 10 "aminoacids" "Ile" "Isoleucine" "LC-MS/MS" "Quantified" NA
"11" 11 "aminoacids" "Leu" "Leucine" "LC-MS/MS" "Quantified" NA
"12" 12 "aminoacids" "Lys" "Lysine" "LC-MS/MS" "Quantified" NA
"13" 13 "aminoacids" "Met" "Methionine" "LC-MS/MS" "Quantified" NA
"14" 14 "aminoacids" "Orn" "Ornitine" "LC-MS/MS" "Quantified" NA
"15" 15 "aminoacids" "Phe" "Phenylalanine" "LC-MS/MS" "Quantified" NA
"16" 16 "aminoacids" "Pro" "Proline" "LC-MS/MS" "Quantified" NA
"17" 17 "aminoacids" "Ser" "Serine" "LC-MS/MS" "Quantified" NA
"18" 18 "aminoacids" "Thr" "Threonine" "LC-MS/MS" "Quantified" NA
"19" 19 "aminoacids" "Trp" "Tryptophan" "LC-MS/MS" "Quantified" NA
"20" 20 "aminoacids" "Tyr" "Tyrosine" "LC-MS/MS" "Quantified" NA
"21" 21 "aminoacids" "Val" "Valine" "LC-MS/MS" "Quantified" NA
"22" 22 "biogenic amines" "Ac-Orn" "Acetylornithine" "LC-MS/MS" "< LOD" NA
"23" 23 "biogenic amines" "ADMA" "Asymmetric dimethylarginine" "LC-MS/MS" "< LOD" NA
"24" 24 "biogenic amines" "alpha-AAA" "alpha-Aminoadipic acid" "LC-MS/MS" "< LOD" NA
"25" 25 "biogenic amines" "c4-OH-Pro" "cis-4-Hydroxyproline" "LC-MS/MS" "< LOD" NA
"26" 26 "biogenic amines" "Carnosine" "Carnosine" "LC-MS/MS" "< LOD" NA
"27" 27 "biogenic amines" "Creatinine" "Creatinine" "LC-MS/MS" "Quantified" NA
"28" 28 "biogenic amines" "DOPA" "DOPA" "LC-MS/MS" "< LLOQ" NA
"29" 29 "biogenic amines" "Dopamine" "Dopamine" "LC-MS/MS" "< LLOQ" NA
"30" 30 "biogenic amines" "Histamine" "Histamine" "LC-MS/MS" "< LLOQ" NA
"31" 31 "biogenic amines" "Kynurenine" "Kynurenine" "LC-MS/MS" "Quantified" NA
"32" 32 "biogenic amines" "Met-SO" "Methioninesulfoxide" "LC-MS/MS" "< LOD" NA
"33" 33 "biogenic amines" "Nitro-Tyr" "Nitrotyrosine" "LC-MS/MS" "< LOD" NA
"34" 34 "biogenic amines" "PEA" "Phenylethylamine" "LC-MS/MS" "< LOD" NA
"35" 35 "biogenic amines" "Putrescine" "Putrescine" "LC-MS/MS" "Quantified" NA
"36" 36 "biogenic amines" "Sarcosine" "Sarcosine" "LC-MS/MS" "Quantified" NA
"37" 37 "biogenic amines" "Serotonin" "Serotonin" "LC-MS/MS" "Quantified" NA
"38" 38 "biogenic amines" "Spermidine" "Spermidine" "LC-MS/MS" "< LLOQ" NA
"39" 39 "biogenic amines" "Spermine" "Spermine" "LC-MS/MS" "QC-CV>25%" NA
"40" 40 "biogenic amines" "t4-OH-Pro" "trans-4-Hydroxyproline" "LC-MS/MS" "< LLOQ" NA
"41" 41 "biogenic amines" "Taurine" "Taurine" "LC-MS/MS" "Quantified" NA
"42" 42 "biogenic amines" "SDMA" "Symmetric dimethylarginine" "LC-MS/MS" "Quantified" NA
"43" 43 "acylcarnitines" "C0" "Carnitine" "FIA-MS/MS" "Quantified" NA
"44" 44 "acylcarnitines" "C2" "Acetylcarnitine" "FIA-MS/MS" "Quantified" NA
"45" 45 "acylcarnitines" "C3" "Propionylcarnitine" "FIA-MS/MS" "< LLOQ" NA
"46" 46 "acylcarnitines" "C3:1" "Propenoylcarnitine" "FIA-MS/MS" "QC-CV>25%" NA
"47" 47 "acylcarnitines" "C3-OH" "Hydroxypropionylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"48" 48 "acylcarnitines" "C4" "Butyrylcarnitine" "FIA-MS/MS" "< LLOQ" NA
"49" 49 "acylcarnitines" "C4:1" "Butenylcarnitine" "FIA-MS/MS" "< LOD" NA
"50" 50 "acylcarnitines" "C4-OH (C3-DC)" "Hydroxybutyrylcarnitine" "FIA-MS/MS" "< LOD" NA
"51" 51 "acylcarnitines" "C5" "Valerylcarnitine" "FIA-MS/MS" "< LLOQ" NA
"52" 52 "acylcarnitines" "C5:1" "Tiglylcarnitine" "FIA-MS/MS" "QC-CV>25%" NA
"53" 53 "acylcarnitines" "C5:1-DC" "Glutaconylcarnitine" "FIA-MS/MS" "QC-CV>25%" NA
"54" 54 "acylcarnitines" "C5-DC (C6-OH)" "Glutarylcarnitine* (Hydroxyhexanoylcarnitine)" "FIA-MS/MS" "Semi-quantified" NA
"55" 55 "acylcarnitines" "C5-M-DC" "Methylglutarylcarnitine" "FIA-MS/MS" "QC-CV>25%" NA
"56" 56 "acylcarnitines" "C5-OH (C3-DC-M)" "Hydroxyvalerylcarnitine (Methylmalonylcarnitine)" "FIA-MS/MS" "QC-CV>25%" NA
"57" 57 "acylcarnitines" "C6 (C4:1-DC)" "Hexanoylcarnitine (Fumarylcarnitine)" "FIA-MS/MS" "Semi-quantified" NA
"58" 58 "acylcarnitines" "C6:1" "Hexenoylcarnitine" "FIA-MS/MS" "< LOD" NA
"59" 59 "acylcarnitines" "C7-DC" "Pimelylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"60" 60 "acylcarnitines" "C8" "Octanoylcarnitine" "FIA-MS/MS" "Quantified" NA
"61" 61 "acylcarnitines" "C9" "Nonaylcarnitine" "FIA-MS/MS" "QC-CV>25%" NA
"62" 62 "acylcarnitines" "C10" "Decanoylcarnitine" "FIA-MS/MS" "Quantified" NA
"63" 63 "acylcarnitines" "C10:1" "Decenoylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"64" 64 "acylcarnitines" "C10:2" "Decadienylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"65" 65 "acylcarnitines" "C12" "Dodecanoylcarnitine" "FIA-MS/MS" "< LLOQ" NA
"66" 66 "acylcarnitines" "C12:1" "Dodecenoylcarnitine" "FIA-MS/MS" "< LOD" NA
"67" 67 "acylcarnitines" "C12-DC" "Dodecanedioylcarnitine" "FIA-MS/MS" "< LOD" NA
"68" 68 "acylcarnitines" "C14" "Tetradecanoylcarnitine" "FIA-MS/MS" "< LLOQ" NA
"69" 69 "acylcarnitines" "C14:1" "Tetradecenoylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"70" 70 "acylcarnitines" "C14:1-OH" "Hydroxytetradecenoylcarnitine" "FIA-MS/MS" "QC-CV>25%" NA
"71" 71 "acylcarnitines" "C14:2" "Tetradecadienylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"72" 72 "acylcarnitines" "C14:2-OH" "Hydroxytetradecadienylcarnitine" "FIA-MS/MS" "QC-CV>25%" NA
"73" 73 "acylcarnitines" "C16" "Hexadecanoylcarnitine" "FIA-MS/MS" "< LLOQ" NA
"74" 74 "acylcarnitines" "C16:1" "Hexadecenoylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"75" 75 "acylcarnitines" "C16:1-OH" "Hydroxyhexadecenoylcarnitine" "FIA-MS/MS" "QC-CV>25%" NA
"76" 76 "acylcarnitines" "C16:2" "Hexadecadienylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"77" 77 "acylcarnitines" "C16:2-OH" "Hydroxyhexadecadienylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"78" 78 "acylcarnitines" "C16-OH" "Hydroxyhexadecanoylcarnitine" "FIA-MS/MS" "QC-CV>25%" NA
"79" 79 "acylcarnitines" "C18" "Octadecanoylcarnitine" "FIA-MS/MS" "< LLOQ" NA
"80" 80 "acylcarnitines" "C18:1" "Octadecenoylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"81" 81 "acylcarnitines" "C18:1-OH" "Hydroxyoctadecenoylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"82" 82 "acylcarnitines" "C18:2" "Octadecadienylcarnitine" "FIA-MS/MS" "Semi-quantified" NA
"83" 83 "glycerophospholipids" "lysoPC a C14:0" "lysoPC a C14:0" "FIA-MS/MS" "< LOD" NA
"84" 84 "glycerophospholipids" "lysoPC a C16:0" "lysoPC a C16:0" "FIA-MS/MS" "Semi-quantified" NA
"85" 85 "glycerophospholipids" "lysoPC a C16:1" "lysoPC a C16:1" "FIA-MS/MS" "Semi-quantified" NA
"86" 86 "glycerophospholipids" "lysoPC a C17:0" "lysoPC a C17:0" "FIA-MS/MS" "Semi-quantified" NA
"87" 87 "glycerophospholipids" "lysoPC a C18:0" "lysoPC a C18:0" "FIA-MS/MS" "Semi-quantified" NA
"88" 88 "glycerophospholipids" "lysoPC a C18:1" "lysoPC a C18:1" "FIA-MS/MS" "Semi-quantified" NA
"89" 89 "glycerophospholipids" "lysoPC a C18:2" "lysoPC a C18:2" "FIA-MS/MS" "Semi-quantified" NA
"90" 90 "glycerophospholipids" "lysoPC a C20:3" "lysoPC a C20:3" "FIA-MS/MS" "Semi-quantified" NA
